State,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
New Mexico,8.083333333,6.2,6.6,7.583333333,5.283333333,8.066666667,6.725,5.641666667,8.016666667,6.183333333,6.608333333,7.55,5.266666667,8.058333333,6.625,5.675,7.983333333,6.133333333
New York,6.683333333,6.191666667,6.975,6.383333333,5.391666667,7.316666667,6.391666667,6.266666667,6.7,6.15,7.025,6.366666667,5.391666667,7.283333333,6.325,6.408333333,6.641666667,6.033333333
North Carolina,6.025,4.783333333,7.758333333,4.908333333,4.825,7.783333333,4.391666667,7.1,5.933333333,4.758333333,7.708333333,4.875,4.908333333,7.625,4.391666667,7.208333333,5.766666667,4.791666667
North Dakota,5.091666667,3.341666667,4.15,4.508333333,3.133333333,4.891666667,3.683333333,3.325,5.1,3.35,4.066666667,4.466666667,3.183333333,4.783333333,3.725,3.383333333,5.025,3.358333333
Ohio,8.45,5.166666667,8.591666667,6.641666667,5.108333333,9.325,5.441666667,6.725,8.366666667,5.166666667,8.608333333,6.516666667,5.233333333,9.216666667,5.383333333,6.891666667,8.125,5.2
Oklahoma,6.616666667,4.583333333,5.458333333,6.333333333,4.141666667,6.666666667,5.058333333,4.95,6.575,4.575,5.458333333,6.25,4.25,6.633333333,4.958333333,5.058333333,6.533333333,4.6
Oregon,8.066666667,6.15,8.7,6.441666667,6.025,9.358333333,5.733333333,7.591666667,7.958333333,6.191666667,8.633333333,6.4,6.15,9.166666667,5.8,7.741666667,7.8,6.291666667
Pennsylvania,7.641666667,5.425,7.558333333,6.391666667,4.875,8.258333333,5.666666667,5.958333333,7.65,5.425,7.616666667,6.308333333,4.908333333,8.208333333,5.675,6.058333333,7.458333333,5.4
Rhode Island,6.091666667,5.541666667,8.125,5.708333333,4.983333333,7.666666667,5.933333333,7.15,6.108333333,5.475,8.175,5.7,5.083333333,7.583333333,5.95,7.333333333,6.1,5.383333333
South Carolina,6.766666667,5.275,8.566666667,5.766666667,5.316666667,8.433333333,5.125,7.516666667,6.675,5.4,8.458333333,5.758333333,5.408333333,8.316666667,5.191666667,7.716666667,6.6,5.441666667
